Time(s),Lead3ElectricPotential(mV),HeartRate(1/min),ArterialPressure(mmHg),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),OxygenSaturation,RespirationRate(1/min),SkinTemperature(degC),Carina-CarbonDioxide-PartialPressure(mmHg)
0.02,-0.039,73.17,87.5,94.7,113.8,73.0,0.973,15.96,33.1,25.4
0.04,-0.004,73.17,86.1,94.7,113.8,73.0,0.973,15.96,33.1,25.5
0.06,0.068,73.17,84.8,94.7,113.8,73.0,0.973,15.96,33.1,25.5
0.08,0.002,73.17,83.4,94.7,113.8,73.0,0.973,15.96,33.1,25.6
0.10,-0.050,73.17,82.2,94.7,113.8,73.0,0.973,15.96,33.1,25.7
0.12,-0.071,73.17,80.9,94.7,113.8,73.0,0.973,15.96,33.1,25.7
0.14,-0.081,73.17,79.7,94.7,113.8,73.0,0.973,15.96,33.1,25.8
0.16,-0.074,73.17,78.5,94.7,113.8,73.0,0.973,15.96,33.1,25.8
0.18,0.175,73.17,77.3,94.7,113.8,73.0,0.973,15.96,33.1,25.9
0.20,0.668,73.17,76.2,94.7,113.8,73.0,0.973,15.96,33.1,25.9
0.22,-0.077,73.17,75.1,94.7,113.8,73.0,0.973,15.96,33.1,26.0
0.24,-0.038,73.17,74.0,94.7,113.8,73.0,0.973,15.96,33.1,26.0
0.26,-0.035,73.17,73.0,94.7,113.8,73.0,0.973,15.96,33.1,26.1
0.28,-0.033,73.17,76.1,94.7,113.8,73.0,0.973,15.96,33.1,26.1
0.30,-0.018,73.17,81.4,94.7,113.8,73.0,0.973,15.96,33.1,26.2
0.32,-0.007,73.17,87.5,94.7,113.8,73.0,0.973,15.96,33.1,26.2
0.34,0.010,73.17,93.5,94.7,113.8,73.0,0.973,15.96,33.1,26.3
0.36,0.032,73.17,98.9,94.7,113.8,73.0,0.973,15.96,33.1,26.3
0.38,0.063,73.17,103.3,94.7,113.8,73.0,0.973,15.96,33.1,26.3
0.40,0.096,73.17,106.8,94.7,113.8,73.0,0.973,15.96,33.1,26.4
0.42,0.145,73.17,109.4,94.7,113.8,73.0,0.973,15.96,33.1,26.4
0.44,0.183,73.17,111.3,94.7,113.8,73.0,0.973,15.96,33.1,26.5
0.46,0.201,73.17,112.6,94.7,113.8,73.0,0.973,15.96,33.1,26.5
0.48,0.209,73.17,113.4,94.7,113.8,73.0,0.973,15.96,33.1,26.5
0.50,0.139,73.17,113.7,94.7,113.8,73.0,0.973,15.96,33.1,26.6
0.52,0.050,73.17,113.7,94.7,113.8,73.0,0.973,15.96,33.1,26.6
0.54,-0.018,73.17,113.4,94.7,113.8,73.0,0.973,15.96,33.1,26.6
0.56,-0.037,73.17,112.6,94.7,113.8,73.0,0.973,15.96,33.1,26.6
0.58,-0.037,73.17,110.8,94.7,113.8,73.0,0.973,15.96,33.1,26.7
0.60,0,73.17,108.8,94.7,113.8,73.0,0.973,15.96,33.1,26.7
0.62,0,73.17,106.9,94.7,113.8,73.0,0.973,15.96,33.1,26.7
0.64,0,73.17,105.1,94.7,113.8,73.0,0.973,15.96,33.1,26.7
0.66,0,73.17,103.3,94.7,113.8,73.0,0.973,15.96,33.1,26.8
0.68,0,73.17,101.5,94.7,113.8,73.0,0.973,15.96,33.1,26.8
0.70,0,73.17,99.8,94.7,113.8,73.0,0.973,15.96,33.1,26.8
0.72,0,73.17,98.2,94.7,113.8,73.0,0.973,15.96,33.1,26.8
0.74,0,73.17,96.5,94.7,113.8,73.0,0.973,15.96,33.1,26.9
0.76,0,73.17,94.9,94.7,113.8,73.0,0.973,15.96,33.1,26.9
0.78,0,73.17,93.4,94.7,113.8,73.0,0.973,15.96,33.1,26.9
0.80,0,73.17,91.8,94.7,113.8,73.0,0.973,15.96,33.1,26.9
0.82,0,73.17,90.4,94.7,113.8,73.0,0.973,15.96,33.1,26.9
0.84,0,73.17,88.9,94.7,113.8,73.0,0.973,15.96,33.1,27.0
0.86,-0.039,73.17,87.5,94.7,113.8,73.0,0.973,15.96,33.1,27.0
0.88,-0.004,73.17,86.1,94.7,113.8,73.0,0.973,15.96,33.1,27.0
0.90,0.068,73.17,84.8,94.7,113.8,73.0,0.973,15.96,33.1,27.0
0.92,0.002,73.17,83.4,94.7,113.8,73.0,0.973,15.96,33.1,27.0
0.94,-0.050,73.17,82.2,94.7,113.8,73.0,0.973,15.96,33.1,27.0
0.96,-0.071,73.17,80.9,94.7,113.8,73.0,0.973,15.96,33.1,27.1
0.98,-0.081,73.17,79.7,94.7,113.8,73.0,0.973,15.96,33.1,27.1
1.00,-0.074,73.17,78.5,94.7,113.8,73.0,0.973,15.96,33.1,27.1
1.02,0.175,73.17,77.3,94.7,113.8,73.0,0.973,15.96,33.1,27.1
1.04,0.668,73.17,76.2,94.7,113.8,73.0,0.973,15.96,33.1,27.1
1.06,-0.077,73.17,75.0,94.7,113.8,73.0,0.973,15.96,33.1,27.1
1.08,-0.038,73.17,74.0,94.7,113.8,73.0,0.973,15.96,33.1,27.1
1.10,-0.035,73.17,73.0,94.7,113.7,73.0,0.973,15.96,33.1,27.1
1.12,-0.033,73.17,76.1,94.7,113.7,73.0,0.973,15.96,33.1,27.2
1.14,-0.018,73.17,81.4,94.7,113.7,73.0,0.973,15.96,33.1,27.2
1.16,-0.007,73.17,87.5,94.7,113.7,73.0,0.973,15.96,33.1,27.2
1.18,0.010,73.17,93.5,94.7,113.7,73.0,0.973,15.96,33.1,27.2
1.20,0.032,73.17,98.9,94.7,113.7,73.0,0.973,15.96,33.1,27.2
1.22,0.063,73.17,103.3,94.7,113.7,73.0,0.973,15.96,33.1,27.2
1.24,0.096,73.17,106.8,94.7,113.7,73.0,0.973,15.96,33.1,27.1
1.26,0.145,73.17,109.4,94.7,113.7,73.0,0.973,15.96,33.1,26.4
1.28,0.183,73.17,111.3,94.7,113.7,73.0,0.973,15.96,33.1,24.8
1.30,0.201,73.17,112.6,94.7,113.7,73.0,0.973,15.96,33.1,22.5
1.32,0.209,73.17,113.4,94.7,113.7,73.0,0.973,15.96,33.1,19.6
1.34,0.139,73.17,113.7,94.7,113.7,73.0,0.973,15.96,33.1,16.6
1.36,0.050,73.17,113.7,94.7,113.7,73.0,0.973,15.96,33.1,13.8
1.38,-0.018,73.17,113.4,94.7,113.7,73.0,0.973,15.96,33.1,11.2
1.40,-0.037,73.17,112.6,94.7,113.7,73.0,0.973,15.96,33.1,8.9
1.42,-0.037,73.17,110.7,94.7,113.7,73.0,0.973,15.96,33.1,7.1
1.44,0,73.17,108.8,94.7,113.7,73.0,0.973,15.96,33.1,5.6
1.46,0,73.17,106.9,94.7,113.7,73.0,0.973,15.96,33.1,4.4
1.48,0,73.17,105.1,94.7,113.7,73.0,0.973,15.96,33.1,3.5
1.50,0,73.17,103.3,94.7,113.7,73.0,0.973,15.96,33.1,2.8
1.52,0,73.17,101.5,94.7,113.7,73.0,0.973,15.96,33.1,2.2
1.54,0,73.17,99.8,94.7,113.7,73.0,0.973,15.96,33.1,1.8
1.56,0,73.17,98.1,94.7,113.7,73.0,0.973,15.96,33.1,1.4
1.58,0,73.17,96.5,94.7,113.7,73.0,0.973,15.96,33.1,1.2
1.60,0,73.17,94.9,94.7,113.7,73.0,0.973,15.96,33.1,1.0
1.62,0,73.17,93.4,94.7,113.7,73.0,0.973,15.96,33.1,0.8
1.64,0,73.17,91.8,94.7,113.7,73.0,0.973,15.96,33.1,0.7
1.66,0,73.17,90.4,94.7,113.7,73.0,0.973,15.96,33.1,0.6
1.68,0,73.17,88.9,94.7,113.7,73.0,0.973,15.96,33.1,0.6
1.70,-0.039,73.17,87.5,94.7,113.7,73.0,0.973,15.96,33.1,0.5
1.72,-0.004,73.17,86.1,94.7,113.7,73.0,0.973,15.96,33.1,0.5
1.74,0.068,73.17,84.8,94.7,113.7,73.0,0.973,15.96,33.1,0.4
1.76,0.002,73.17,83.4,94.7,113.7,73.0,0.973,15.96,33.1,0.4
1.78,-0.050,73.17,82.2,94.7,113.7,73.0,0.973,15.96,33.1,0.4
1.80,-0.071,73.17,80.9,94.7,113.7,73.0,0.973,15.96,33.1,0.4
1.82,-0.081,73.17,79.7,94.7,113.7,73.0,0.973,15.96,33.1,0.4
1.84,-0.074,73.17,78.5,94.7,113.7,73.0,0.973,15.96,33.1,0.4
1.86,0.175,73.17,77.3,94.7,113.7,73.0,0.973,15.96,33.1,0.3
1.88,0.668,73.17,76.2,94.7,113.7,73.0,0.973,15.96,33.1,0.3
1.90,-0.077,73.17,75.0,94.7,113.7,73.0,0.973,15.96,33.1,0.3
1.92,-0.038,73.17,74.0,94.7,113.7,73.0,0.973,15.96,33.1,0.3
1.94,-0.035,73.17,73.0,94.7,113.7,73.0,0.973,15.96,33.1,0.3
1.96,-0.033,73.17,76.1,94.7,113.7,73.0,0.973,15.96,33.1,0.3
1.98,-0.018,73.17,81.4,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.00,-0.007,73.17,87.5,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.02,0.010,73.17,93.5,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.04,0.032,73.17,98.8,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.06,0.063,73.17,103.3,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.08,0.096,73.17,106.8,94.7,113.7,73.0,0.973,15.96,33.1,0.3
